phone_name,condition1,oldprice,newprice,ram,rom
Samsung Galaxy A14,Cũ Trầy Xước,2.890.000đ,5.190.000đ,6 GB,128 GB
iPhone 13 Pro Max,Cũ Đẹp,17.490.000đ,35.990.000đ,6 GB,128 GB
iPhone 11 Pro Max,Cũ trầy xước,11.690.000đ,35.000.000đ,4 GB,512 GB
Điện thoại Nubia V60 Design,Đã Kích Hoạt,2.490.000đ,3.290.000đ,6 GB,256 GB
Samsung Galaxy S24 Ultra,Cũ Xước Cấn,Giá Liên Hệ,33.990.000đ,12 GB,256 GB
Xiaomi Redmi Note 11 Pro,Đã Kích Hoạt,4.390.000đ,7.490.000đ,8 GB,128 GB
Samsung Galaxy A34,Cũ Trầy Xước,4.340.000đ,8.490.000đ,,
Infinix Note 40 Pro,Cũ Đẹp,4.490.000đ,5.990.000đ,8 GB,256 GB
Xiaomi Redmi Note 13 Pro Plus,Cũ Trầy Xước,6.590.000đ,10.990.000đ,8 GB,256 GB
Vivo V27e,Cũ Trầy Xước,4.290.000đ,8.990.000đ,8 GB,256 GB
INOI 288S,Cũ Đẹp,790.000đ,1.190.000đ,,
Samsung Galaxy Z Fold6,Đã Kích Hoạt,36.990.000đ,47.990.000đ,12 GB,512 GB
Samsung Galaxy A13,Cũ Xước Cấn,1.690.000đ,4.190.000đ,4 GB,128 GB
iPhone 11,Đã kích hoạt bảo hành VN/A,8.890.000đ,13.990.000đ,4 GB,128 GB
OPPO Reno11 F,Cũ Trầy Xước,5.490.000đ,8.990.000đ,8 GB,256 GB
Infinix Note 30,Đã Kích Hoạt,3.790.000đ,5.290.000đ,8GB + Mở rộng 8GB,256 GB
Xiaomi 12T,Cũ Đẹp,7.290.000đ,12.490.000đ,8 GB,256 GB
Xiaomi Redmi Note 12,Cũ Đẹp,3.690.000đ,4.990.000đ,8 GB,256 GB
Nokia 110,Cũ Đẹp,500.000đ,710.000đ,,128 MB
Samsung Galaxy Z Flip5,Cũ Xước Cấn,9.890.000đ,29.990.000đ,8 GB,256 GB
Nokia 3210,Cũ Đẹp,990.000đ,1.590.000đ,,128 MB
ZTE Blade V50 Design,Cũ Đẹp,1.890.000đ,2.990.000đ,8GB + Mở rộng 10GB,128 GB
iPhone 14,Cũ Xước Cấn,13.890.000đ,22.990.000đ,6 GB,128 GB
Itel S23,Đã Kích Hoạt,1.890.000đ,3.990.000đ,8 GB,256 GB
Samsung Galaxy A32,Cũ đẹp,3.890.000đ,6.490.000đ,6 GB,128 GB
Samsung Galaxy S21 Ultra,Cũ xước cấn,7.890.000đ,33.990.000đ,12 GB,256 GB
OPPO A98,Cũ Đẹp,2.190.000đ,5.790.000đ,8 GB,256 GB
Masstel Fami 60S,Cũ Đẹp,490.000đ,700.000đ,,128 MB
Xiaomi Redmi 10C,Cũ Đẹp,1.890.000đ,3.890.000đ,4 GB,128 GB
Vivo V27e,Cũ Đẹp,4.690.000đ,8.990.000đ,8 GB,256 GB
Nokia C31,Cũ Xước Cấn,1.190.000đ,3.690.000đ,4 GB,128 GB
Samsung Galaxy Note 20 Ultra,Cũ Trầy Xước,9.390.000đ,32.990.000đ,12 GB,256 GB
Samsung Galaxy S22 Plus,Cũ Đẹp,10.690.000đ,25.990.000đ,8 GB,256 GB
TECNO SPARK 20PRO+,Cũ Đẹp,3.590.000đ,5.490.000đ,8GB + Mở rộng 8GB,256 GB
Xiaomi Redmi 10,Cũ Đẹp,2.190.000đ,3.650.000đ,4 GB,64 GB
Samsung Galaxy A05S,Cũ Đẹp,2.690.000đ,3.990.000đ,4 GB,128 GB
iPhone 13,Đổi Bảo Hành,Giá Liên Hệ,17.290.000đ,4 GB,128 GB
Samsung Galaxy A33,Cũ Đẹp,3.890.000đ,7.290.000đ,6 GB,128 GB
Xiaomi Redmi Note 11 Pro Plus,Cũ Trầy Xước,4.090.000đ,9.990.000đ,8 GB,256 GB
Xiaomi Redmi 10,Cũ Xước Cấn,1.690.000đ,3.650.000đ,4 GB,128 GB
Samsung Galaxy S23 Ultra,Cũ Xước Cấn,15.290.000đ,31.990.000đ,8 GB,256 GB
OPPO Find X5 Pro,Cũ Xước Cấn,10.790.000đ,19.990.000đ,12 GB,256 GB
Samsung Galaxy Z Fold6,Cũ Đẹp,Giá Liên Hệ,43.990.000đ,12 GB,256 GB
OPPO Reno10 Pro Plus,Đã Kích Hoạt,11.990.000đ,19.990.000đ,12 GB,256 GB
ASUS ROG Phone 6,Cũ Xước Cấn,11.590.000đ,20.990.000đ,16 GB,512 GB
Redmi A2,Đã Kích Hoạt,1.490.000đ,2.190.000đ,2 GB,32 GB
Samsung Galaxy Note 20,Cũ xước cấn,5.290.000đ,23.990.000đ,8 GB,256 GB
Samsung Galaxy M55,Cũ Đẹp,Giá Liên Hệ,12.690.000đ,12 GB,256 GB
OPPO A57,Cũ Xước Cấn,2.290.000đ,4.990.000đ,4 GB,128 GB
OPPO Reno8 Z,Cũ Đẹp,4.890.000đ,10.490.000đ,8 GB,256 GB
iPhone 13,Cũ Đẹp,14.590.000đ,33.990.000đ,4 GB,512 GB
Xiaomi Redmi Note 13 Pro,Cũ Xước Cấn,3.990.000đ,7.290.000đ,8 GB,128 GB
iPhone 13 mini,Đổi Bảo Hành,Giá Liên Hệ,21.990.000đ,4 GB,128 GB
OPPO Reno11,Cũ Xước Cấn,6.290.000đ,9.050.000đ,8 GB,256 GB
iPhone 11,Cũ,7.990.000đ,13.990.000đ,4 GB,128 GB
Điện thoại ZTE Blade V40,Cũ Đẹp,1.590.000đ,2.490.000đ,6GB + Mở rộng 5GB,128 GB
Samsung Galaxy A54,Đã Kích Hoạt,6.840.000đ,10.490.000đ,8 GB,256 GB
Samsung Galaxy A13,Cũ trầy xước,1.990.000đ,4.190.000đ,4 GB,128 GB
Realme 10,Cũ Trầy Xước,3.090.000đ,7.190.000đ,8 GB,256 GB
TECNO SPARK Go 2024,Cũ Đẹp,1.390.000đ,1.990.000đ,4GB + Mở rộng 4GB,64 GB
Samsung Galaxy A13,Cũ Đẹp,2.290.000đ,4.190.000đ,4 GB,128 GB
Nokia 105,Cũ Đẹp,450.000đ,680.000đ,,128 MB
Samsung Galaxy A51,Cũ đẹp,2.190.000đ,7.990.000đ,,128 GB
Realme C53,Cũ Trầy Xước,2.490.000đ,4.790.000đ,6 GB,128 GB
OPPO A76,Cũ Xước Cấn,2.190.000đ,5.990.000đ,6 GB,128 GB
Xiaomi 13T,Đã Kích Hoạt,8.290.000đ,12.990.000đ,8 GB,256 GB
Samsung Galaxy S24 Ultra,Cũ Xước Cấn,22.090.000đ,37.490.000đ,12 GB,512 GB
iPhone 15 Plus,Đổi Bảo Hành,Giá Liên Hệ,25.990.000đ,,128 GB
ZTE Blade V50 Design,Cũ Đẹp,2.090.000đ,3.290.000đ,8GB + Mở rộng 10GB,256 GB
Xiaomi Redmi Note 12 Pro,Đã Kích Hoạt,4.590.000đ,7.990.000đ,8 GB,256 GB
Tecno POVA 3,Cũ Trầy Xước,2.090.000đ,4.990.000đ,6 GB,128 GB
Xiaomi 13T,Cũ Trầy Xước,7.090.000đ,12.990.000đ,8 GB,256 GB
iPhone 12,Cũ Trầy Xước,8.290.000đ,15.990.000đ,,64 GB
iPhone 12,Cũ Xước Cấn,8.490.000đ,17.990.000đ,,128 GB
Nubia Red Magic 6S Pro Ghost,Cũ Xước Cấn,6.990.000đ,22.990.000đ,16 GB,256 GB
iPhone 11 Pro Max,Cũ Trầy Xước,11.190.000đ,32.000.000đ,4 GB,256 GB
Infinix Note 40 Pro,Cũ Trầy Xước,4.090.000đ,5.990.000đ,8 GB,256 GB
iPhone 11 Pro Max,Cũ đẹp,11.890.000đ,32.000.000đ,4 GB,256 GB
iPhone 14 Pro Max,Cũ Trầy Xước,25.990.000đ,29.990.000đ,6 GB,1 TB
vivo Y17s,Đã Kích Hoạt,2.490.000đ,3.790.000đ,4 GB,64 GB
Điện thoại Tecno Camon 30,Đã Kích Hoạt,4.690.000đ,6.490.000đ,8 GB,256 GB
Redmi A2,Cũ Trầy Xước,1.090.000đ,2.190.000đ,2 GB,32 GB
Xiaomi 12T,Cũ Trầy Xước,6.090.000đ,12.490.000đ,8 GB,128 GB
TECNO SPARK 20C,Cũ Đẹp,Giá Liên Hệ,2.690.000đ,4GB + Mở rộng 4GB,128 GB
iPhone 15 Pro,Đổi Bảo Hành,Giá Liên Hệ,28.990.000đ,,128 GB
Xiaomi Redmi A3,Cũ Xước Cấn,Giá Liên Hệ,2.990.000đ,4 GB,128 GB
iPhone 15 Pro,Cũ Trầy Xước,23.390.000đ,31.990.000đ,,256 GB
Xiaomi 12T,Cũ Xước Cấn,5.590.000đ,12.490.000đ,8 GB,128 GB
Xiaomi Poco M3,Cũ Đẹp,2.390.000đ,3.990.000đ,,
vivo Y17s,Đã Kích Hoạt,2.890.000đ,3.790.000đ,6 GB,128 GB
iPhone 14 Pro Max,Cũ Trầy Xước,21.790.000đ,29.990.000đ,6 GB,128 GB
Xiaomi Redmi Note 11S,Cũ Trầy Xước,2.590.000đ,6.690.000đ,8 GB,128 GB
Tecno Camon 20,Đã Kích Hoạt,3.590.000đ,4.990.000đ,8 GB,256 GB
iPhone 14 Plus,Đổi Bảo Hành,Giá Liên Hệ,22.990.000đ,6 GB,128 GB
Xiaomi Redmi Note 11S,Cũ Xước Cấn,2.490.000đ,6.690.000đ,8 GB,128 GB
Samsung Galaxy A12,Cũ Đẹp,1.790.000đ,4.290.000đ,4 GB,128 GB
Samsung Galaxy S10+,Cũ,7.990.000đ,19.990.000đ,,128 GB
Xiaomi Redmi A3,Cũ Đẹp,1.890.000đ,2.990.000đ,4 GB,128 GB
Samsung Galaxy Tab A8 2019,Cũ đẹp,2.030.000đ,2.400.000đ,2 GB,32 GB
Samsung Galaxy A70,Cũ,3.700.000đ,9.290.000đ,,
Samsung Galaxy S23,Cũ Xước Cấn,8.490.000đ,22.990.000đ,8 GB,128 GB
Điện thoại ZTE Blade A54,Cũ Đẹp,1.490.000đ,2.290.000đ,4GB + Mở rộng 4GB,128 GB
POCO M6,Cũ Đẹp,2.890.000đ,4.290.000đ,6 GB,128 GB
iPhone 14,Đã Kích Hoạt,15.290.000đ,19.990.000đ,6 GB,128 GB
Apple iPhone 7 Plus,Cũ Trầy Xước,4.090.000đ,10.990.000đ,,128 GB
Xiaomi Redmi 12C,Cũ Trầy Xước,1.490.000đ,3.590.000đ,4 GB,64 GB
Infinix Hot 40i,Đã Kích Hoạt,1.790.000đ,2.390.000đ,4 GB,128 GB
iPhone 11,Đã kích hoạt bảo hành,7.890.000đ,11.990.000đ,4 GB,64 GB
iPhone 15 Pro,Cũ Xước Cấn,19.890.000đ,28.990.000đ,,128 GB
Realme C53,Cũ Đẹp,Giá Liên Hệ,4.790.000đ,6 GB,128 GB
iPhone 14 Pro Max,Đổi Bảo Hành,Giá Liên Hệ,29.990.000đ,6 GB,128 GB
OPPO Find N2 Flip,Đã Kích Hoạt,10.690.000đ,19.990.000đ,8 GB,256 GB
iPhone 12,Cũ Đẹp,10.990.000đ,23.990.000đ,4 GB,256 GB
Samsung Galaxy A15 LTE,Cũ Trầy Xước,2.890.000đ,4.990.000đ,8 GB,128 GB
Nokia 110,Cũ Trầy Xước,450.000đ,850.000đ,,128 MB
iPhone 15,Cũ Xước Cấn,Giá Liên Hệ,25.990.000đ,6 GB,256 GB
Xiaomi Redmi Note 12 Pro,Cũ Đẹp,3.890.000đ,7.990.000đ,8 GB,128 GB
Xiaomi Redmi A3,Cũ Đẹp,1.990.000đ,2.990.000đ,4 GB,128 GB
Nokia 3210,Cũ Trầy Xước,890.000đ,1.590.000đ,,128 MB
Samsung Galaxy Z Flip3,Cũ xước cấn,5.690.000đ,26.990.000đ,8 GB,128 GB
Samsung Galaxy Z Fold4,Cũ Đẹp,17.090.000đ,44.490.000đ,12 GB,512 GB
Oppo A15s,Cũ đẹp,1.890.000đ,4.290.000đ,4 GB,64 GB
INOI Note 13s,Cũ Đẹp,1.990.000đ,3.390.000đ,8 GB,256 GB
Realme C55,Cũ Trầy Xước,3.090.000đ,5.990.000đ,8 GB,256 GB
Tecno Pova 6,Cũ Đẹp,Giá Liên Hệ,6.490.000đ,8 GB,256 GB
iPhone 13,Cũ Đẹp,13.390.000đ,21.990.000đ,4 GB,256 GB
OPPO Reno7 Z,Cũ Trầy Xước,3.290.000đ,9.990.000đ,8 GB,128 GB
Samsung Galaxy S23 Plus,Cũ Xước Cấn,11.090.000đ,26.990.000đ,8 GB,256 GB
Nokia 105,Cũ xước cấn,340.000đ,750.000đ,,128 MB
OPPO A38,Cũ Trầy Xước,2.190.000đ,2.890.000đ,4 GB,128 GB
Điện thoại ZTE Blade A55,Đã Kích Hoạt,1.790.000đ,2.290.000đ,4 GB,128 GB
TCL 406S,Đã Kích Hoạt,1.490.000đ,1.990.000đ,4 GB,64 GB
OPPO Reno 6,Cũ Trầy Xước,3.590.000đ,4.190.000đ,,
iPhone 12 Pro Max,Cũ Xước Cấn,14.590.000đ,37.990.000đ,6 GB,512 GB
vivo Y02s,Cũ Trầy Xước,1.590.000đ,3.290.000đ,3 GB,64 GB
Infinix Hot 40 Pro Free Fire,Cũ Xước Cấn,2.190.000đ,4.290.000đ,8 GB,256 GB
Vivo Y36,Cũ Đẹp,3.390.000đ,5.190.000đ,8 GB,128 GB
iPhone 14 Pro Max,Đã Kích Hoạt,25.990.000đ,32.990.000đ,,256 GB
Vivo V25,Cũ Đẹp,4.690.000đ,10.490.000đ,8GB + Mở rộng 8GB,128 GB
realme C60,Cũ Trầy Xước,1.790.000đ,2.790.000đ,4 GB,64 GB
realme C51,Cũ Đẹp,2.190.000đ,3.290.000đ,4GB + Mở rộng 4GB,64 GB
Realme C35,Cũ Xước Cấn,1.890.000đ,4.990.000đ,4 GB,128 GB
iPhone 15,Đổi Bảo Hành,Giá Liên Hệ,22.990.000đ,,128 GB
Samsung Galaxy S23 FE,Cũ Đẹp,9.590.000đ,14.890.000đ,8 GB,256 GB
ZTE Blade A52,Cũ Trầy Xước,890.000đ,2.490.000đ,3 GB,64 GB
Masstel izi T2,Cũ Trầy Xước,350.000đ,500.000đ,48MB,128 MB
Oppo A92,Cũ,2.790.000đ,6.490.000đ,8 GB,128 GB
Samsung Galaxy S23 FE,Đã Kích Hoạt,Giá Liên Hệ,14.890.000đ,8 GB,256 GB
iPhone 15 Pro,Cũ Trầy Xước,20.890.000đ,28.990.000đ,,128 GB
Xiaomi Redmi Note 12,Cũ Đẹp-Xám,3.490.000đ,4.990.000đ,8 GB,128 GB
Samsung Galaxy A03s,Cũ trầy xước,1.790.000đ,3.690.000đ,4 GB,64 GB
Realme C55,Cũ Trầy Xước,2.590.000đ,4.990.000đ,6 GB,128 GB
OPPO A76,Cũ Đẹp,2.790.000đ,5.990.000đ,6 GB,128 GB
Xiaomi Redmi 12C,Cũ Đẹp,1.690.000đ,3.590.000đ,4 GB,64 GB
Xiaomi Redmi Note 11S,Cũ Đẹp,2.890.000đ,6.690.000đ,8 GB,128 GB
TECNO POVA 5,Cũ Trầy Xước,3.090.000đ,5.290.000đ,8 GB,256 GB
Tecno Camon 20 Pro,Cũ Xước Cấn,3.290.000đ,5.490.000đ,8 GB,256 GB
Nokia C30,Cũ Trầy Xước,1.190.000đ,2.990.000đ,2 GB,32 GB
Xiaomi Poco M6,Cũ Trầy Xước,2.590.000đ,3.190.000đ,6 GB,128 GB
Samsung Galaxy Note 20,Cũ xước cấn,6.990.000đ,17.990.000đ,8 GB,256 GB
Samsung Galaxy A05,Cũ Trầy Xước,1.790.000đ,3.090.000đ,4 GB,128 GB
Samsung Galaxy S20 FE,Cũ Trầy Xước,4.690.000đ,12.490.000đ,8 GB,256 GB
Nokia C21 Plus,Cũ Đẹp,1.490.000đ,3.190.000đ,3 GB,64 GB
Xiaomi Redmi Note 13 Pro,Cũ Đẹp,5.390.000đ,6.390.000đ,8 GB,256 GB
Realme C55,Cũ Đẹp,3.390.000đ,5.990.000đ,8 GB,256 GB
Samsung Galaxy A35,Đã Kích Hoạt,6.390.000đ,8.290.000đ,8 GB,256 GB
Xiaomi Poco F4,Cũ Xước Cấn,3.690.000đ,8.990.000đ,6 GB,128 GB
Samsung Galaxy M14,Cũ Đẹp,Giá Liên Hệ,5.290.000đ,4 GB,64 GB
Samsung Galaxy A02s,Cũ Trầy Xước,1.090.000đ,3.590.000đ,4 GB,64 GB
Realme C35,Cũ Trầy Xước,2.290.000đ,4.990.000đ,4 GB,128 GB
Vivo Y02s,Cũ Đẹp,1.490.000đ,3.290.000đ,3 GB,32 GB
Samsung Galaxy S23,Cũ Trầy Xước,Giá Liên Hệ,22.990.000đ,8 GB,128 GB
Realme C30s,Cũ Đẹp,1.290.000đ,2.490.000đ,2 GB,32 GB
Vivo Y21S,Cũ đẹp,2.390.000đ,4.990.000đ,4 GB,128 GB
Samsung Galaxy Z Flip4,Cũ Xước Cấn,7.290.000đ,25.990.000đ,8 GB,256 GB
Realme C53,Cũ Đẹp,3.090.000đ,4.790.000đ,8 GB,256 GB
Realme C33,Cũ Trầy Xước,1.390.000đ,3.490.000đ,3 GB,32 GB
Samsung Galaxy A50,Cũ,2.800.000đ,7.990.000đ,6 GB,128 GB
OPPO A95,Cũ Xước Cấn,2.590.000đ,6.990.000đ,8 GB,128 GB
Infinix Hot 30i,Cũ Xước Cấn,1.290.000đ,2.790.000đ,4GB + Mở rộng 4GB,128 GB
Tecno Spark Go,Cũ Đẹp,1.590.000đ,2.490.000đ,4GB + Mở rộng 3GB,64 GB
Xiaomi POCO M5s,Cũ Đẹp,2.790.000đ,5.290.000đ,6 GB,128 GB
Samsung Galaxy S23,Cũ Đẹp,11.290.000đ,24.990.000đ,8 GB,256 GB
Xiaomi Redmi Note 13 Pro,Cũ Trầy Xước,4.290.000đ,7.290.000đ,8 GB,128 GB
Samsung Galaxy M14,Đã Kích Hoạt,3.090.000đ,5.290.000đ,4 GB,128 GB
Tecno Spark 10 Pro,Cũ Trầy Xước,2.390.000đ,3.990.000đ,8 GB,128 GB
Vivo Y36,Cũ Trầy Xước,Giá Liên Hệ,5.190.000đ,8 GB,128 GB
Nokia T20,Cũ Xước Cấn,2.090.000đ,6.290.000đ,4 GB,64 GB
Xiaomi Redmi Note 11 Pro,Cũ Đẹp,4.090.000đ,8.990.000đ,8 GB,128 GB
Samsung Galaxy S22,Cũ Xước Cấn,7.290.000đ,21.990.000đ,8 GB,128 GB
Samsung Galaxy Z Flip4,Đã Kích Hoạt,8.990.000đ,23.990.000đ,8 GB,128 GB
Samsung Galaxy S22 Plus,Cũ Xước Cấn,8.190.000đ,25.990.000đ,8 GB,128 GB
Samsung Galaxy A35,Cũ Trầy Xước,5.290.000đ,8.290.000đ,8 GB,128 GB
Samsung Galaxy A15 LTE,Đã Kích Hoạt,3.890.000đ,4.990.000đ,8 GB,256 GB
iPhone 12 Pro Max,Cũ Đẹp,15.290.000đ,28.990.000đ,,128 GB
iPhone 15 Pro Max,Đổi Bảo Hành,Giá Liên Hệ,40.990.000đ,,512 GB
Samsung Galaxy A15 LTE,Cũ Đẹp,3.490.000đ,4.990.000đ,8 GB,256 GB
Samsung Galaxy S23 FE,Đã Kích Hoạt,9.490.000đ,14.890.000đ,8 GB,128 GB
Samsung Galaxy A05S,Cũ Đẹp,2.990.000đ,3.990.000đ,6 GB,128 GB
Oppo A73,Cũ Trầy Xước,2.690.000đ,5.490.000đ,6 GB,128 GB
OPPO A96,Cũ Xước Cấn,2.990.000đ,6.990.000đ,8 GB,128 GB
Samsung Galaxy M14,Cũ Xước Cấn,Giá Liên Hệ,5.290.000đ,4 GB,128 GB
Samsung Galaxy A53,Cũ Trầy Xước,4.090.000đ,9.990.000đ,8 GB,128 GB
Samsung Galaxy M14,Cũ Trầy Xước,3.390.000đ,5.290.000đ,4 GB,128 GB
Realme C20,Cũ Trầy Xước,890.000đ,2.690.000đ,2 GB,32 GB
Xiaomi Redmi 10,Cũ Trầy Xước,1.890.000đ,3.650.000đ,4 GB,64 GB
Vivo X80 Pro,Cũ Trầy Xước,8.390.000đ,29.990.000đ,12 GB,256 GB
Tecno Spark 10 Pro,Cũ Trầy Xước,2.090.000đ,4.490.000đ,8 GB,256 GB
Xiaomi Redmi A3,Cũ Trầy Xước,1.790.000đ,2.990.000đ,4 GB,128 GB
OPPO A18,Cũ Đẹp,2.290.000đ,3.990.000đ,4 GB,64 GB
Xiaomi Redmi Note 11 Pro,Cũ Trầy Xước,3.690.000đ,8.990.000đ,8 GB,128 GB
iPhone 15 Pro,Đổi Bảo Hành,Giá Liên Hệ,31.990.000đ,,256 GB
Masstel izi S3,Cũ Đẹp,350.000đ,470.000đ,,16 GB
Samsung Galaxy Z Flip4,Cũ Trầy Xước,7.890.000đ,25.990.000đ,8 GB,256 GB
Xiaomi Mi 11 Lite,Cũ Trầy Xước,4.290.000đ,9.490.000đ,6 GB,128 GB
Nokia 215,Cũ Trầy Xước,450.000đ,960.000đ,,128 MB
Samsung Galaxy Z Fold3,Cũ đẹp,13.490.000đ,44.990.000đ,12 GB,512 GB
OPPO A95,Cũ trầy xước,2.890.000đ,6.990.000đ,8 GB,128 GB
Vivo Y12s,Cũ đẹp,1.990.000đ,3.290.000đ,3 GB,32 GB
Xiaomi Redmi Note 10 Pro,Cũ trầy xước,3.290.000đ,7.490.000đ,8 GB,128 GB
iPhone 14,Đã Kích Hoạt,18.590.000đ,25.990.000đ,6 GB,256 GB
Infinix Hot 40i,Cũ Đẹp,1.590.000đ,2.390.000đ,4 GB,128 GB
Xiaomi Redmi Note 12S,Cũ Đẹp,3.590.000đ,6.690.000đ,8 GB,256 GB
Samsung Galaxy A03,Cũ Đẹp,1.390.000đ,2.990.000đ,3 GB,32 GB
realme C51,Cũ Đẹp,2.690.000đ,4.490.000đ,6 GB,256 GB
OPPO Reno7,Cũ Xước Cấn,3.190.000đ,7.990.000đ,8 GB,128 GB
Apple iPhone XS Max,Cũ,6.590.000đ,25.000.000đ,,64 GB
Vivo X70 Pro,Cũ Đẹp,8.390.000đ,19.990.000đ,12 GB,256 GB
Infinix Hot 30i,Cũ Đẹp,1.690.000đ,3.290.000đ,8GB + Mở rộng 8GB,128 GB
Samsung Galaxy A05,Cũ Đẹp,2.390.000đ,3.090.000đ,6 GB,128 GB
iPhone 14 Pro,Đổi Bảo Hành,Giá Liên Hệ,27.990.000đ,,128 GB
Samsung Galaxy A05S,Cũ Trầy Xước,2.790.000đ,3.990.000đ,6 GB,128 GB
Vsmart Aris,Cũ,2.890.000đ,5.990.000đ,6 GB,64 GB
Realme C21Y,Cũ Trầy Xước,1.990.000đ,4.290.000đ,4 GB,64 GB
Samsung Galaxy A05,Cũ Xước Cấn,1.790.000đ,3.090.000đ,6 GB,128 GB
Vivo Y35,Cũ Trầy Xước,2.890.000đ,6.990.000đ,8GB + Mở rộng 8GB,128 GB
Xiaomi Redmi 10C,Cũ Đẹp,1.690.000đ,3.890.000đ,4 GB,64 GB
Điện thoại Sony Xperia 1V,Đã Kích Hoạt,23.490.000đ,35.990.000đ,12 GB,256 GB
Samsung Galaxy A05,Cũ Xước Cấn,Giá Liên Hệ,3.090.000đ,4 GB,128 GB
Samsung Galaxy A05S,Cũ Xước Cấn,2.090.000đ,3.990.000đ,4 GB,128 GB
OPPO Reno12 F,Đã Kích Hoạt,8.190.000đ,9.490.000đ,12 GB,256 GB
Samsung Galaxy S23 Ultra,Đã Kích Hoạt,18.790.000đ,31.990.000đ,8 GB,256 GB
Điện thoại ZTE Blade A72,Cũ Trầy Xước,1.090.000đ,2.490.000đ,3 GB,128 GB
Xiaomi 13T Pro,Cũ Đẹp,10.290.000đ,16.990.000đ,12 GB,256 GB
Samsung Galaxy A30s,Cũ đẹp,3.000.000đ,6.290.000đ,4 GB,64 GB
Samsung Galaxy A55,Cũ Đẹp,7.590.000đ,9.990.000đ,8 GB,256 GB
Samsung Galaxy A12,Cũ Trầy Xước,1.590.000đ,4.290.000đ,4 GB,128 GB
Vivo Y16,Cũ Xước Cấn,1.790.000đ,4.490.000đ,4GB + Mở rộng 1GB,128 GB
Oneplus 10T,Cũ Đẹp,9.490.000đ,17.990.000đ,16 GB,256 GB
Redmi A2,Cũ Đẹp,1.290.000đ,2.190.000đ,2 GB,32 GB
iPhone 13 Pro,Cũ Xước Cấn,Giá Liên Hệ,23.990.000đ,6 GB,128 GB
Nokia G21,Cũ Xước Cấn,2.090.000đ,4.290.000đ,6 GB,128 GB
Xiaomi Mi 11 Lite,Cũ Đẹp,4.990.000đ,9.490.000đ,8 GB,128 GB
Nokia 105,Cũ Xước Cấn,350.000đ,680.000đ,,128 MB
Xiaomi POCO M5,Cũ Trầy Xước,2.090.000đ,4.290.000đ,4 GB,64 GB
Samsung Galaxy S21 FE,Cũ Xước Cấn,5.890.000đ,16.990.000đ,8 GB,128 GB
realme C51,Đã Kích Hoạt,2.490.000đ,3.290.000đ,4GB + Mở rộng 4GB,64 GB
Masstel Lux 20,Cũ Xước Cấn,300.000đ,500.000đ,,128 MB
Samsung Galaxy A33,Cũ Trầy Xước,3.590.000đ,7.290.000đ,6 GB,128 GB
Samsung Galaxy Z Fold4,Đã Kích Hoạt,17.490.000đ,40.990.000đ,12 GB,256 GB
Samsung Galaxy A35,Cũ Đẹp,6.090.000đ,8.290.000đ,8 GB,256 GB
Samsung Galaxy A23,Cũ Trầy Xước,2.890.000đ,5.990.000đ,4 GB,128 GB
Infinix Hot 40 Pro Free Fire,Cũ Đẹp,Giá Liên Hệ,4.290.000đ,8 GB,256 GB
vivo Y17s,Cũ Đẹp,2.290.000đ,3.790.000đ,4 GB,64 GB
Oppo A15s,Cũ Trầy Xước,1.890.000đ,4.290.000đ,4 GB,64 GB
Samsung Galaxy M14,Cũ Trầy Xước,2.390.000đ,5.290.000đ,4 GB,64 GB
Samsung Galaxy S23 FE,Cũ Xước Cấn,7.090.000đ,14.890.000đ,8 GB,128 GB
Samsung Galaxy S22 Ultra,Cũ Trầy Xước,14.090.000đ,36.990.000đ,12 GB,512 GB
realme C51,Cũ Trầy Xước,2.190.000đ,4.490.000đ,6 GB,256 GB
Vivo Y12s,Cũ Đẹp,1.590.000đ,3.290.000đ,3 GB,32 GB
Realme C55,Cũ Xước Cấn,2.290.000đ,4.990.000đ,6 GB,128 GB
Vivo Y02t,Đã Kích Hoạt,1.890.000đ,2.990.000đ,4 GB,64 GB
iPhone 13,Đổi bảo hành VN/A,17.790.000đ,24.990.000đ,4 GB,128 GB
vivo Y22S,Cũ Đẹp,2.690.000đ,5.290.000đ,4 GB,128 GB
Samsung Galaxy A73,Cũ Xước Cấn,5.490.000đ,12.990.000đ,8 GB,256 GB
OPPO A16,Cũ Trầy Xước,1.790.000đ,3.990.000đ,4 GB,64 GB
Vivo Y21S,Cũ Trầy Xước,2.090.000đ,4.990.000đ,4 GB,128 GB
Samsung Galaxy S22 Plus,Đã kích hoạt,13.990.000đ,25.990.000đ,8 GB,128 GB
Xiaomi Redmi Note 12,Cũ Xước Cấn,3.090.000đ,4.990.000đ,8 GB,256 GB
OPPO Reno7 Z,Cũ Xước Cấn,2.990.000đ,9.990.000đ,8 GB,128 GB
Vivo Y53S,Cũ Xước Cấn,2.790.000đ,6.990.000đ,8 GB,128 GB
Samsung Galaxy A72,Đã kích hoạt bảo hành,5.590.000đ,11.490.000đ,8 GB,256 GB
iPhone 11,Cũ Xước Cấn,8.990.000đ,19.990.000đ,4 GB,256 GB
iPhone 14 Plus,Đổi Bảo Hành,Giá Liên Hệ,22.990.000đ,6 GB,128 GB
Masstel izi S3,Cũ Trầy Xước,300.000đ,470.000đ,,16 GB
iPhone 14,Đã Kích Hoạt,23.390.000đ,33.990.000đ,6 GB,512 GB
